id,x,y,color,color_weight,cluster,PCA_100_cluster_2_without_concat,PCA_100_cluster_20_without_concat,PCA_500_cluster_2_without_concat,PCA_500_cluster_20_without_concat,PCA_100_cluster_2_with_concat,PCA_100_cluster_20_with_concat,PCA_500_cluster_2_with_concat,PCA_500_cluster_20_with_concat,PCA_500_cluster_10_without_concat,PCA_500_cluster_10_with_concat,object.1
IMG2748_1,-82.18067808,103.9827197,"[[231.47182725 236.16862623 239.75529584]
 [ 41.64075453  43.40193327  36.98291848]
 [ 86.88285566  93.02011395  90.05009064]]","[0.4164125, 0.1943, 0.3892875]",IMG2748,0,6,0,15,0,3,0,3,2,7,Unknow
IMG2748_2,-82.18067808,103.9827197,"[[175.26285614 181.91541053 191.61682105]
 [ 42.55178703  45.42689017  36.61631997]
 [113.04721456 114.31677876 117.88436419]]","[0.5935916666666666, 0.21435833333333335, 0.19205]",IMG2748,0,3,0,0,0,3,0,3,2,7,Unknow
IMG2748_3,-82.18067808,103.9827197,"[[210.43156001 217.48289    218.33253369]
 [ 91.61307175  89.69254281  82.20238457]
 [164.37107006 168.61873807 176.61633358]]","[0.6896041666666667, 0.11800416666666666, 0.19239166666666666]",IMG2748,0,11,0,11,0,3,0,3,2,7,Unknow
IMG2748_4,-82.18067808,103.9827197,"[[217.38493498 224.87085885 228.06612858]
 [107.65489679 103.26531378  99.33235035]
 [152.68526929 153.13084802 154.32677662]]","[0.48709583333333334, 0.192625, 0.32027916666666667]",IMG2748,0,9,0,5,0,3,0,3,0,7,Unknow
IMG2748_5,-82.18067808,103.9827197,"[[153.09593467 149.91217824 152.42739215]
 [ 49.68935146  51.37620981  36.11740498]
 [112.65936591 108.2704619  104.54435453]]","[0.3831833333333333, 0.38285833333333336, 0.23395833333333332]",IMG2748,0,9,0,5,0,3,0,3,0,7,Unknow
IMG2749_1,38.91932192,8.08271965,"[[145.39843414 131.32132529 103.24641605]
 [ 71.11919179  52.85830392  47.21477836]
 [111.32543631 105.95583776  92.36102148]]","[0.600775, 0.12825416666666667, 0.2709708333333333]",IMG2749,1,13,1,9,1,14,1,14,8,4,Unknow
IMG2749_2,38.91932192,8.08271965,"[[119.82538703 112.83696616  99.8409868 ]
 [ 64.93454031  52.35322823  45.16860129]
 [147.07134903 146.44384966 140.94347001]]","[0.33102916666666665, 0.14422916666666666, 0.5247416666666667]",IMG2749,1,13,1,9,1,14,1,14,8,4,Unknow
IMG2749_3,38.91932192,8.08271965,"[[ 81.14618372  64.9042921   53.91192465]
 [127.6335153  115.52335625  94.59051123]
 [170.19748182 170.26488015 170.91395098]]","[0.061875, 0.21510416666666668, 0.7230208333333333]",IMG2749,1,13,1,9,1,14,1,14,8,4,Unknow
IMG2749_4,38.91932192,8.08271965,"[[120.06272178 117.61362083 109.31800375]
 [ 71.34348175  55.68643554  47.35468606]
 [ 91.94186503  80.46656878  78.48138688]]","[0.3837375, 0.4024375, 0.213825]",IMG2749,1,12,1,4,1,14,1,14,5,4,Unknow
IMG2749_5,38.91932192,8.08271965,"[[108.51551714 103.05449776  94.61681669]
 [ 66.81848776  53.91244194  49.26011572]
 [145.03876294 143.94631029 147.57626644]]","[0.6989541666666667, 0.211675, 0.08937083333333333]",IMG2749,1,1,1,14,1,14,1,14,5,4,Unknow
IMG2750_1,-34.98067808,-8.71728035,"[[138.50348206 136.66559497 131.52923766]
 [ 81.29723818  74.03173868  64.39107469]
 [234.29274214 236.48143737 238.55387857]]","[0.3601, 0.4577791666666667, 0.18212083333333334]",IMG2750,0,6,0,15,0,15,0,15,2,3,prison
IMG2750_2,-34.98067808,-8.71728035,"[[ 85.90023579  76.3865968   59.95710768]
 [122.6443261  120.37697556 113.51506822]
 [204.67569746 212.38574179 219.35488782]]","[0.509325, 0.397525, 0.09315]",IMG2750,0,10,0,16,0,15,0,15,7,3,prison
IMG2750_3,-34.98067808,-8.71728035,"[[109.9951952  114.23831193 115.75646168]
 [187.525944   199.09260211 208.48582927]
 [ 71.26340229  67.52741892  57.74810733]]","[0.230875, 0.6716875, 0.0974375]",IMG2750,0,10,0,16,0,15,0,15,7,3,prison
IMG2750_4,-34.98067808,-8.71728035,"[[102.79382979 109.1478258  106.32856383]
 [183.39801563 194.7808273  200.22520433]
 [ 58.3936279   58.59477761  39.54960134]]","[0.6265791666666667, 0.11679583333333333, 0.256625]",IMG2750,0,7,0,3,0,15,0,15,7,3,prison
IMG2750_5,-34.98067808,-8.71728035,"[[114.51408802 115.75977    117.81147449]
 [201.84977312 208.18864267 216.55998062]
 [ 96.72639033  85.74957248  67.85454852]]","[0.559275, 0.3464, 0.094325]",IMG2750,0,10,0,16,0,15,0,15,0,3,prison
IMG2751_1,24.61932192,-73.51728035,"[[ 72.1635149   52.56942666  29.82568623]
 [115.96596141 116.83634071 110.97139882]
 [100.52450877  79.60971357  54.29313241]]","[0.16630416666666667, 0.4536625, 0.38003333333333333]",IMG2751,1,0,1,6,1,8,1,8,1,2,altar
IMG2751_2,24.61932192,-73.51728035,"[[128.09233792 125.07321    119.9211826 ]
 [211.38341501 219.51808988 226.00250235]
 [ 95.57126389  90.86121322  78.57813689]]","[0.3045583333333333, 0.5757291666666666, 0.1197125]",IMG2751,1,0,1,6,1,8,1,8,1,2,altar
IMG2751_3,24.61932192,-73.51728035,"[[ 98.51772542  91.32462336  82.65771827]
 [128.50729808 132.62546013 134.46791546]
 [215.06264028 219.20016323 220.02989186]]","[0.3736291666666667, 0.5855666666666667, 0.04080416666666667]",IMG2751,1,0,1,6,1,8,1,8,1,2,altar
IMG2751_4,24.61932192,-73.51728035,"[[137.79321349 145.44205511 147.85531094]
 [127.69536187 120.75783951 111.31036127]
 [156.26806939 167.37403056 173.63948419]]","[0.1815625, 0.643475, 0.1749625]",IMG2751,1,0,1,6,1,8,1,8,1,2,altar
IMG2751_5,24.61932192,-73.51728035,"[[ 83.69575622  59.53286236  36.32898788]
 [128.06717959 130.01675259 132.25540652]
 [190.79611052 198.42793031 208.30535023]]","[0.3693708333333333, 0.5832708333333333, 0.047358333333333336]",IMG2751,1,8,1,13,1,8,1,8,3,2,altar
IMG2752_1,26.71932192,-73.31728035,"[[136.92739672 146.27439417 152.44538815]
 [166.02455317 186.12853996 199.67952955]
 [ 50.37604076  45.74537095  42.10960606]]","[0.23480833333333334, 0.7316333333333334, 0.033558333333333336]",IMG2752,1,0,1,6,1,1,1,1,6,2,altar
IMG2752_2,26.71932192,-73.31728035,"[[100.96875112  99.50656492  92.03333788]
 [131.44451588 138.81068107 148.99963568]
 [ 76.29563077  55.84558728  36.14582601]]","[0.19445833333333334, 0.5803916666666666, 0.22515]",IMG2752,1,8,1,13,1,1,1,1,6,2,altar
IMG2752_3,26.71932192,-73.31728035,"[[148.76077908 143.46815362 135.92397707]
 [ 85.38245165  76.60193853  57.95937472]
 [100.97003984  97.06035444  84.9727545 ]]","[0.7582125, 0.18873333333333334, 0.053054166666666666]",IMG2752,1,0,1,6,1,1,1,1,1,2,altar
IMG2752_4,26.71932192,-73.31728035,"[[ 93.78273784  87.15935986  73.98813774]
 [212.34847538 218.05678269 220.11913009]
 [125.52088952 121.11358646 112.13358867]]","[0.43669583333333334, 0.41642083333333335, 0.14688333333333334]",IMG2752,1,2,1,10,1,1,1,1,1,2,altar
IMG2752_5,26.71932192,-73.31728035,"[[207.87424878 220.5602676  228.12337   ]
 [ 91.7784337   86.50012699  79.47545665]
 [128.4840117  138.45119298 149.49649123]]","[0.6069583333333334, 0.3562875, 0.036754166666666664]",IMG2752,1,0,1,6,1,1,1,1,1,2,altar
IMG2753_1,32.51932192,-27.41728035,"[[140.62814362 147.07810083 150.41673668]
 [ 92.70593303  81.60135355  75.91757127]
 [223.6055304  231.67294751 234.02385905]]","[0.5306708333333333, 0.435275, 0.03405416666666667]",IMG2753,1,13,1,9,1,14,1,14,8,4,medicine_chest
IMG2753_2,32.51932192,-27.41728035,"[[ 82.24806589  73.25132243  68.65466857]
 [142.77675383 155.56032577 159.73686537]
 [117.38009241 111.55602563 108.16499525]]","[0.24507083333333332, 0.5133625, 0.24156666666666668]",IMG2753,1,13,1,9,1,14,1,14,8,4,medicine_chest
IMG2753_3,32.51932192,-27.41728035,"[[112.92188079 107.39434682 101.96798923]
 [ 62.96703632  53.43832544  44.59817327]
 [176.66796021 161.20412051 132.48782897]]","[0.7086666666666667, 0.23219583333333332, 0.0591375]",IMG2753,1,18,1,18,1,14,1,14,5,4,medicine_chest
IMG2753_4,32.51932192,-27.41728035,"[[120.95297511 111.15566665  95.056472  ]
 [ 44.47943224  44.0449843   56.17576088]
 [ 86.09466982  81.47472511  81.8288863 ]]","[0.5136583333333333, 0.33355416666666665, 0.1527875]",IMG2753,1,12,1,4,1,14,1,14,6,4,medicine_chest
IMG2753_5,32.51932192,-27.41728035,"[[136.56678449 144.52679839 150.53960845]
 [108.1445603   96.72297605  90.99635734]
 [ 58.23204854  47.90873186  50.41774923]]","[0.548975, 0.1752125, 0.2758125]",IMG2753,1,1,1,14,1,14,1,14,8,4,medicine_chest
IMG2754_1,46.91932192,-69.41728035,"[[136.86742264 139.70060649 140.01208813]
 [ 55.00492611  43.93999104  36.47738468]
 [123.71632094 115.36754538 105.90152694]]","[0.7014458333333333, 0.28925, 0.009304166666666667]",IMG2754,1,12,1,12,1,18,1,18,6,5,prison
IMG2754_2,46.91932192,-69.41728035,"[[131.55636689 128.53555199 123.45595196]
 [116.55912673 102.99024595  91.69731859]
 [ 83.20487882  62.21286999  44.34015036]]","[0.4357416666666667, 0.48483333333333334, 0.079425]",IMG2754,1,8,1,13,1,18,1,18,3,5,prison
IMG2754_3,46.91932192,-69.41728035,"[[154.97415308 153.81972241 146.94727293]
 [201.59381812 205.98461038 209.92220595]
 [120.081657   120.84303235 117.82400491]]","[0.3600875, 0.5119666666666667, 0.12794583333333334]",IMG2754,1,7,1,3,1,18,1,18,7,5,prison
IMG2754_4,46.91932192,-69.41728035,"[[156.52618461 162.34154351 163.33918309]
 [131.88486221 134.5620834  128.2152664 ]
 [186.32982437 197.83957248 205.14227402]]","[0.6382291666666666, 0.28455833333333336, 0.0772125]",IMG2754,1,7,1,3,1,18,1,18,7,5,prison
IMG2754_5,46.91932192,-69.41728035,"[[147.10722933 156.06459703 159.50013836]
 [138.52137606 145.43130089 145.99556444]
 [135.98014813 136.17790058 132.54170053]]","[0.400175, 0.35890833333333333, 0.24091666666666667]",IMG2754,0,15,0,12,1,18,1,18,6,5,prison
IMG2755_1,91.21932192,-38.91728035,"[[118.21462271 121.54330443 117.91478509]
 [186.59232252 187.06075976 187.94161572]
 [ 89.87980889  93.45873726  84.97340352]]","[0.4277375, 0.27068333333333333, 0.3015791666666667]",IMG2755,0,11,0,11,1,18,1,18,2,5,sliding_door
IMG2755_2,91.21932192,-38.91728035,"[[ 94.6655449   98.09462112  92.69942229]
 [194.62611116 195.42344671 196.07369935]
 [130.96892581 134.51113141 136.39860316]]","[0.35625416666666665, 0.3470625, 0.29668333333333335]",IMG2755,0,7,0,3,1,18,1,18,7,5,sliding_door
IMG2755_3,91.21932192,-38.91728035,"[[150.97204969 153.39909618 155.68850792]
 [118.91836147 115.71084102 109.83267152]
 [201.17727512 201.44923724 201.66396633]]","[0.3618625, 0.5985125, 0.039625]",IMG2755,0,7,0,13,1,18,1,18,7,5,sliding_door
IMG2755_4,91.21932192,-38.91728035,"[[148.97051951 151.23583632 154.48475147]
 [ 96.4459967   95.91107105  89.54028341]
 [129.72294333 129.47232267 126.03684264]]","[0.3673166666666667, 0.0831875, 0.5494958333333333]",IMG2755,1,12,1,13,1,18,1,18,6,5,sliding_door
IMG2755_5,91.21932192,-38.91728035,"[[151.36604647 153.49378687 155.40616097]
 [114.45273079 113.76225875 107.99947681]
 [195.91174022 197.27411939 199.92205771]]","[0.5735375, 0.3113666666666667, 0.11509583333333333]",IMG2755,0,7,0,3,1,18,1,18,7,5,sliding_door
IMG2756_1,-61.38067808,34.68271965,"[[116.52566742 116.40678179 111.00529533]
 [206.73146514 207.26719043 207.44389827]
 [154.56349985 157.23206578 155.78578983]]","[0.43735, 0.2653125, 0.2973375]",IMG2756,0,5,0,3,0,15,0,15,7,3,Unknow
IMG2756_2,-61.38067808,34.68271965,"[[135.10046419 139.75180723 139.59573358]
 [112.23499737 112.92723539 107.72462349]
 [171.5691166  176.91497408 177.92568873]]","[0.39950416666666666, 0.39555, 0.20494583333333333]",IMG2756,0,10,0,16,0,15,0,15,7,3,Unknow
IMG2756_3,-61.38067808,34.68271965,"[[116.14118783 105.56566732  92.50605303]
 [147.86852356 151.80996643 151.53830441]
 [126.17924882 129.15214133 124.30131582]]","[0.4003, 0.3365625, 0.2631375]",IMG2756,1,12,1,1,0,15,0,15,9,3,Unknow
IMG2756_4,-61.38067808,34.68271965,"[[129.97220254 130.02812044 129.21045009]
 [126.52288538  90.70478996  83.46538681]
 [162.3502352  165.09835904 167.83666995]]","[0.218975, 0.39989166666666665, 0.3811333333333333]",IMG2756,1,12,1,1,0,15,0,15,9,3,Unknow
IMG2756_5,-61.38067808,34.68271965,"[[131.37679703 129.76397953 127.5511902 ]
 [168.74172595 171.78463042 174.93603432]
 [102.42888514  96.76081081  90.77290058]]","[0.44351666666666667, 0.173125, 0.38335833333333336]",IMG2756,0,10,0,3,0,15,0,15,7,3,Unknow
IMG2757_1,46.31932192,-21.71728035,"[[ 82.66545217  64.43634782  50.73185056]
 [121.77937329 108.20130079  87.25992957]
 [147.5132583  149.42083174 143.59023274]]","[0.6725708333333333, 0.1524375, 0.17499166666666666]",IMG2757,1,13,1,9,1,14,1,14,8,4,home_theater
IMG2757_2,46.31932192,-21.71728035,"[[ 55.11096553  49.45993208  43.10740929]
 [126.87782602 125.9412785  117.39305964]
 [110.69857365  91.69204915  66.95274679]]","[0.6967125, 0.14755833333333335, 0.15572916666666667]",IMG2757,1,1,1,14,1,14,1,14,8,4,home_theater
IMG2757_3,46.31932192,-21.71728035,"[[136.37033499 132.01562161 123.24102721]
 [ 69.05458963  60.79249699  48.98388391]
 [ 87.88698684 112.85086514 119.18029674]]","[0.5191208333333334, 0.29392083333333335, 0.18695833333333334]",IMG2757,1,12,1,4,1,14,1,14,5,4,home_theater
IMG2757_4,46.31932192,-21.71728035,"[[ 88.67730135  72.69951458  64.48795244]
 [129.08154743 118.88944335 107.30591849]
 [143.51190632 153.11631858 158.99074679]]","[0.6038583333333334, 0.15950416666666667, 0.2366375]",IMG2757,1,13,1,9,1,14,1,14,8,4,home_theater
IMG2757_5,46.31932192,-21.71728035,"[[ 64.12259328  50.81540302  40.27379528]
 [134.67873094 142.15847836 138.2910057 ]
 [117.42060989 101.96139061  78.7658368 ]]","[0.0540875, 0.8692625, 0.07665]",IMG2757,1,13,1,9,1,14,1,14,8,4,home_theater
IMG2758_1,46.61932192,-9.71728035,"[[135.75819808 132.61217405 125.75313268]
 [128.21926361 124.47833511 115.44576663]
 [116.85342608 111.79407381 100.7141244 ]]","[0.4686208333333333, 0.09239583333333333, 0.43898333333333334]",IMG2758,0,9,0,12,0,18,0,18,6,5,sliding_door
IMG2758_2,46.61932192,-9.71728035,"[[135.23596804 131.71138598 122.91768981]
 [188.71949628 188.04095524 188.70610925]
 [121.8238176  117.60618504 105.92071076]]","[0.3788375, 0.5477166666666666, 0.07344583333333334]",IMG2758,0,9,0,12,0,18,0,18,6,5,sliding_door
IMG2758_3,46.61932192,-9.71728035,"[[122.00242958 123.39447179 124.11746308]
 [205.11656222 208.73513237 214.64476276]
 [145.28500629 148.46396168 153.23861454]]","[0.16284166666666666, 0.37745, 0.45970833333333333]",IMG2758,0,7,0,3,0,18,0,18,7,5,sliding_door
IMG2758_4,46.61932192,-9.71728035,"[[114.73620179 115.2633724  113.94377306]
 [210.01802358 212.22912166 216.98481575]
 [143.84328953 147.24757423 152.04286427]]","[0.204875, 0.7276208333333334, 0.06750416666666667]",IMG2758,0,7,0,3,0,18,0,18,7,5,sliding_door
IMG2758_5,46.61932192,-9.71728035,"[[186.07739938 200.62757239 217.00710253]
 [100.29120044  93.49174276  86.94487006]
 [130.22431762 128.67302787 127.4088349 ]]","[0.7218916666666667, 0.25525416666666667, 0.022854166666666665]",IMG2758,0,7,0,5,0,18,0,18,7,5,sliding_door
IMG2759_1,10.91932192,24.68271965,"[[ 91.62984719  69.94178357  54.96837425]
 [146.7543423  152.13832605 151.91901465]
 [131.18928685  97.25919598  88.84167637]]","[0.39115833333333333, 0.3337625, 0.27507916666666665]",IMG2759,1,8,1,13,1,18,1,18,3,5,home_theater
IMG2759_2,10.91932192,24.68271965,"[[ 53.9598293   44.53975322  28.65683273]
 [141.91128113 143.59782791 134.37942882]
 [114.40488129  83.85684645  71.74190319]]","[0.497225, 0.45789166666666664, 0.04488333333333333]",IMG2759,1,8,1,13,1,18,1,18,3,5,home_theater
IMG2759_3,10.91932192,24.68271965,"[[121.80003809 114.66357591 112.20836995]
 [129.77593383 134.10780829 133.768565  ]
 [125.72131696 128.47560812 126.29638304]]","[0.24905416666666666, 0.46649583333333333, 0.28445]",IMG2759,1,12,1,13,1,18,1,18,6,5,home_theater
IMG2759_4,10.91932192,24.68271965,"[[135.32622429 123.46816702 106.69327532]
 [146.67609008 152.9137518  156.46298304]
 [ 86.10268801  74.24682875  63.37964361]]","[0.4497583333333333, 0.4950125, 0.05522916666666667]",IMG2759,1,8,1,13,1,18,1,18,3,5,home_theater
IMG2759_5,10.91932192,24.68271965,"[[149.00555611 164.97941621 178.39199799]
 [110.14447968 106.62059928  98.87998317]
 [143.8959871  149.60176225 151.68495435]]","[0.41239583333333335, 0.4585375, 0.12906666666666666]",IMG2759,0,5,0,3,1,18,1,18,7,5,home_theater
IMG2760_1,47.91932192,-20.71728035,"[[113.78432375 100.19236896  84.14290385]
 [135.69209188 142.21161525 146.00191241]
 [ 69.81922054  55.33694631  46.18966192]]","[0.39653333333333335, 0.4969375, 0.10652916666666666]",IMG2760,1,13,1,9,1,14,1,14,8,4,Unknow
IMG2760_2,47.91932192,-20.71728035,"[[118.94655273 103.409458    81.14695993]
 [145.45684789 149.50125428 147.54023349]
 [ 81.95773103  62.88814219  48.40269358]]","[0.1727375, 0.6753291666666666, 0.15193333333333334]",IMG2760,1,13,1,9,1,14,1,14,8,4,Unknow
IMG2760_3,47.91932192,-20.71728035,"[[145.35882224 156.82755491 165.03238492]
 [ 66.54179051  60.63022233  58.17213173]
 [125.4843978  116.77456986 106.27220786]]","[0.247925, 0.1752375, 0.5768375]",IMG2760,1,13,1,9,1,14,1,14,9,4,Unknow
IMG2760_4,47.91932192,-20.71728035,"[[ 46.71401873  43.10132397  46.39737008]
 [130.18819441 129.80291829 124.17377306]
 [ 85.20196313  76.08349747  72.67159601]]","[0.68585, 0.1287, 0.18545]",IMG2760,1,1,1,4,1,14,1,14,5,4,Unknow
IMG2760_5,47.91932192,-20.71728035,"[[115.89213404 111.40456443 100.89386152]
 [139.33543425 135.545859   131.73414328]
 [ 77.05289721  63.95400034  53.07575284]]","[0.43896666666666667, 0.38795, 0.17308333333333334]",IMG2760,1,13,1,9,1,14,1,14,8,4,Unknow
IMG2761_1,26.71932192,-15.31728035,"[[137.18171927 138.18419918 137.74905502]
 [175.56775498 178.42366729 182.06771887]
 [ 97.69672987  91.58797317  79.9289809 ]]","[0.2305625, 0.5898666666666667, 0.17957083333333335]",IMG2761,1,7,1,3,1,8,1,8,7,5,bannister
IMG2761_2,26.71932192,-15.31728035,"[[145.76261493 151.05074608 156.28067036]
 [123.55181718 116.87344341 101.96815331]
 [163.43123872 168.64977719 174.83437218]]","[0.5234416666666667, 0.18067083333333334, 0.2958875]",IMG2761,1,7,1,13,1,8,1,8,3,5,bannister
IMG2761_3,26.71932192,-15.31728035,"[[179.65970798 181.67400748 182.68197176]
 [ 92.71806938  79.48842305  66.32764209]
 [120.60186616 115.72076697 106.85999043]]","[0.6095791666666667, 0.32140416666666666, 0.06901666666666667]",IMG2761,0,5,0,3,1,8,1,8,7,5,bannister
IMG2761_4,26.71932192,-15.31728035,"[[101.0128009   96.64522984  93.35443016]
 [193.00037883 194.28469377 195.31206222]
 [147.45126375 147.92595022 145.67630716]]","[0.24532916666666665, 0.21613333333333334, 0.5385375]",IMG2761,1,7,1,13,1,8,1,8,6,5,bannister
IMG2761_5,26.71932192,-15.31728035,"[[198.90474036 199.46367236 200.61941396]
 [119.0854163  115.0132863  110.55707244]
 [153.83638561 156.3406464  158.21283815]]","[0.18443333333333334, 0.26895, 0.5466166666666666]",IMG2761,0,7,0,13,1,8,1,8,6,5,bannister
IMG2762_1,39.61932192,-73.71728035,"[[134.07509177 133.01484754 128.59221593]
 [ 42.60298091  43.77555385  42.54851855]
 [204.13956459 210.65752914 212.73753127]]","[0.1850375, 0.7366125, 0.07835]",IMG2762,0,9,0,5,0,16,0,16,0,3,Unknow
IMG2762_2,39.61932192,-73.71728035,"[[226.02200086 230.66996836 234.14835134]
 [152.2606427  152.93465423 151.13520422]
 [132.62839954 128.82535038 119.89124222]]","[0.3053666666666667, 0.47217916666666665, 0.22245416666666668]",IMG2762,0,10,0,16,0,16,0,16,0,3,Unknow
IMG2762_3,39.61932192,-73.71728035,"[[119.51700188 116.92729543 106.87318601]
 [ 36.7107777   36.29877479  30.15481258]
 [136.13632283 137.83364575 138.1673971 ]]","[0.3153958333333333, 0.6043375, 0.08026666666666667]",IMG2762,0,9,0,5,0,16,0,16,0,3,Unknow
